game_id,name,no_of_reviews,percent,rates,pegi_rate,price
15301,OST  ALL DLCDs Bundle,0,0,0,-,197
15302,Orb Chambers  Buried Chambers Limited time bundle,0,0,0,-,40
15321,Galmon Folklore treasure box Edition,0,0,0,-,368
419478,GGXrd System Voice  VENOM,1,0,1,-,30
419479,GGXrd System Voice  POTEMKIN,1,0,1,-,30
419600,Lets Play,6,0,1,-,120
419610,Sculpting and Rendering a Biomech Creature Bust,3,0,1,-,278
419620,Creature Concepting In 3D,1,0,1,-,398
419930,GGXrd System Voice  AXL LOW,1,0,1,-,30
419931,GGXrd System Voice  FAUST,1,0,1,-,30
419932,GGXrd System Voice  INO,2,0,1,-,30
419933,GGXrd System Voice  SLAYER,1,0,1,-,30
419934,GGXrd System Voice  ZATO1,2,0,1,-,30
419935,GGXrd System Voice  BEDMAN,1,0,1,-,30
419936,GGXrd System Voice  RAMLETHAL VALENTINE,1,0,1,-,30
419937,GGXrd System Voice  SIN KISKE,2,0,1,-,30
419938,GGXrd System Voice  ELPHELT VALENTINE,1,0,1,-,30
419939,GGXrd System Voice  LEO WHITEFANG,1,0,1,-,30
419940,GGXrd Extra Color Palettes  SOL BADGUY,1,0,1,-,30
419941,GGXrd Extra Color Palettes  KY KISKE,1,0,1,-,30
419942,GGXrd Extra Color Palettes  MAY,1,0,1,-,30
419943,GGXrd Extra Color Palettes  MILLIA RAGE,1,0,1,-,30
419944,GGXrd Extra Color Palettes  CHIPP ZANUFF,1,0,1,-,30
419945,GGXrd Extra Color Palettes  VENOM,1,0,1,-,30
419946,GGXrd Extra Color Palettes  POTEMKIN,1,0,1,-,30
419947,GGXrd Extra Color Palettes  AXL LOW,1,0,1,-,30
419948,GGXrd Extra Color Palettes  FAUST,1,0,1,-,30
419949,GGXrd Extra Color Palettes  INO,1,0,1,-,30
258510,Ohm Studio Pro,1,0,1,-,0
258511,Ohm Studio Pro XL,1,0,1,-,0
258512,Ohm Cloud,0,0,0,-,0
259122,Guncraft Holiday Block Pack,0,0,0,-,30
268120,Liquid Rhythm Randomizer,0,0,0,G,450
268121,Liquid Rhythm GrooveMover,0,0,0,G,220
268122,Liquid Rhythm BeatWeaver,0,0,0,G,950
268123,Liquid Rhythm BeatForm Shifter,0,0,0,G,220
268124,Liquid Rhythm BeatForm Tumbler,0,0,0,G,450
273680,Poof Soundtrack,1,0,1,-,92
298620,XPlane 10 Global  64 Bit  Africa Scenery,8,0,1,-,0
310410,XPlane 10 Global  64 Bit  Asia Scenery,5,0,1,-,0
310420,XPlane 10 Global  64 Bit  Australia Scenery,5,0,1,-,0
310430,XPlane 10 Global  64 Bit  North America Scenery,8,0,1,-,0
310440,XPlane 10 Global  64 Bit  South America Scenery,6,0,1,-,0
416390,Magnetron,4,0,1,-,178
416440,Freedom Poopie Demo,6,0,1,-,0
416650,Diabolical Demo,2,0,1,-,0
416710,Jagged Alliance Online Reloaded  Ivan,2,0,1,-,0
416711,Jagged Alliance Online Reloaded  Shadow,1,0,1,-,0
416712,Jagged Alliance Online Reloaded  Echo,1,0,1,-,0
416713,Jagged Alliance Online Reloaded  Raven,1,0,1,-,0
416840,Color By,1,0,1,-,186
417130,Era,0,0,0,-,0
417160,Legends of Eisenwald Season Pass,9,0,1,-,398
491680,Fantasy Grounds  Weird Wars Rome Savage Worlds,0,0,0,-,468
6742,The Four Colonists,0,0,0,-,189
461060,Spacejacked  Soundtrack,0,0,0,-,0
461090, ,0,0,0,-,428
461100,SteamDolls VR,0,0,0,-,0
461110, ,0,0,0,-,368
461120, ,0,0,0,-,778
461280,Missileman Origins,4,0,1,G,45
435840,The Preposterous Awesomeness of Everything,0,0,0,-,208
461530,CV Maker for Mac,0,0,0,-,468
461550,Typing Instructor Platinum 21  Mac,0,0,0,-,688
461650,Its Killing Time,16,62,3,-,82
